tag,patterns,responses,patterns_str,responses_str,patterns_tokens,responses_tokens,patterns_len,responses_len,Sentiment,Sentiment_Score,Sentiment_Label
death,my friend passed away,i'm sorry to hear that. if you want to talk about it. i'm here.,My mom died My brother died My dad passed away My sister passed away Someone in my family died My friend passed away,"I'm sorry to hear that. If you want to talk about it. I'm here. I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time. My condolences. I'm here if you need to talk.","['my', 'friend', 'passed', 'away']","['im', 'sorry', 'to', 'hear', 'that', 'if', 'you', 'want', 'to', 'talk', 'about', 'it', 'im', 'here']",4,14,0.0,0.0,neutral
wrong,what are you saying?,i'm very sorry. let's try that again,What are you saying? That doesn't make sense Wrong response Wrong answer,I'm very sorry. Let's try that again,"['what', 'are', 'you', 'saying']","['im', 'very', 'sorry', 'lets', 'try', 'that', 'again']",4,7,-0.1513,-0.1513,negative
about,tell me about yourself,call me pandora,Who are you? What are you? Who you are? Tell me more about yourself. What is your name? What should I call you? What's your name? Tell me about yourself,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself. I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today? You can call me Pandora. I'm Pandora! Call me Pandora","['tell', 'me', 'about', 'yourself']","['call', 'me', 'pandora']",4,3,0.0,0.0,neutral
casual,whatever,can you elaborate on that?,Oh I see. ok okay nice Whatever K Fine yeah yes no not really,Let's discuss further why you're feeling this way. How were you feeling last week? I'm listening. Please go on. Tell me more Can you elaborate on that? Come Come elucidate your thoughts,['whatever'],"['can', 'you', 'elaborate', 'on', 'that']",1,5,0.0,0.0,neutral
goodbye,bye,see you later.,Bye See you later Goodbye Au revoir Sayonara ok bye Bye then Fare thee well,See you later. Have a nice day. Bye! Come back again. I'll see you soon.,['bye'],"['see', 'you', 'later']",1,3,0.0,0.0,neutral
help,i need support,sure. tell me how can i assist you,Could you help me? give me a hand please Can you help? What can you do for me? I need support I need help Support me please,"Sure. Tell me how can i assist you Tell me your problem so that i can assist you Yes, sure. How can I help you?","['i', 'need', 'support']","['sure', 'tell', 'me', 'how', 'can', 'i', 'assist', 'you']",3,8,0.3182,0.3182,positive
default,exams,i'm listening. tell me more.,exams friends relationship boyfriend girlfriend family money financial problems,Oh I see. Tell me more I see. What else? Tell me more about it. Oh okay. Why don't you tell me more about it? I'm listening. Tell me more.,['exams'],"['im', 'listening', 'tell', 'me', 'more']",1,5,0.0,0.0,neutral
suicide,i want to die,i'm very sorry to hear that but you have so much to look forward to. please seek help by contacting: 9152987821.,I want to kill myself I've thought about killing myself. I want to die I am going to kill myself I am going to commit suicide,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.,"['i', 'want', 'to', 'die']","['im', 'very', 'sorry', 'to', 'hear', 'that', 'but', 'you', 'have', 'so', 'much', 'to', 'look', 'forward', 'to', 'please', 'seek', 'help', 'by', 'contacting']",4,20,0.7354,0.7354,positive
greeting,hi,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Konnichiwa Guten tag Ola,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?,['hi'],"['hi', 'there', 'how', 'are', 'you', 'feeling', 'today']",1,7,0.128,0.128,positive
wrong,wrong response,i'm very sorry. let's try that again,What are you saying? That doesn't make sense Wrong response Wrong answer,I'm very sorry. Let's try that again,"['wrong', 'response']","['im', 'very', 'sorry', 'lets', 'try', 'that', 'again']",2,7,-0.1513,-0.1513,negative
